,arr_h,mean_delay_arr_h
0,00,5.397241379310345
1,01,6.461267605633803
2,02,1.3333333333333333
3,03,2.6842105263157894
4,04,-2.6690140845070425
5,05,-2.7096247960848285
6,06,-3.5010266940451746
7,07,-3.780849825378347
8,08,-2.3890311566367903
9,09,-1.9251975739753722
10,10,-1.3992756122800967
11,11,-0.8047869631641487
12,12,-0.375
13,13,0.7157894736842105
14,14,1.266857720836143
15,15,1.5147710487444608
16,16,2.9714475431606906
17,17,4.026445160196643
18,18,3.844700223329325
19,19,4.050494883408824
20,20,4.740441176470588
21,21,4.4499831593129
22,22,5.1542776998597475
23,23,4.337522441651705
