,arr_h,mean_taxi_in_per_arr_h
0,00,6.587586206896551
1,01,6.070422535211268
2,02,5.948717948717949
3,03,8.210526315789474
4,04,6.345070422535211
5,05,8.040783034257748
6,06,8.184120465434633
7,07,8.347497089639115
8,08,9.05059777967549
9,09,8.320876288659793
10,10,7.99672300793377
11,11,7.416680822150501
12,12,7.518545322960015
13,13,7.503948061063345
14,14,7.653950033760973
15,15,7.601477377654663
16,16,7.426910299003322
17,17,7.845971162001696
18,18,8.14315174428596
19,19,8.599563831571883
20,20,8.254826254826256
21,21,7.977601886156955
22,22,7.2424029920523605
23,23,6.716561938958708
