,dep_h,mean_taxi_out_per_dep_h
0,00,15.692307692307692
1,01,13.444444444444445
2,02,11.473684210526315
3,03,11.266666666666667
4,04,12.333333333333334
5,05,16.25827205882353
6,06,17.596947257065136
7,07,18.51285647498831
8,08,20.33221850613155
9,09,19.4923293951684
10,10,18.665494137353434
11,11,17.926986278163646
12,12,17.496783770410687
13,13,16.89393654965271
14,14,17.65244555515887
15,15,17.852198628991808
16,16,17.544774758343973
17,17,18.137995922847733
18,18,18.51798825256975
19,19,17.393297380585516
20,20,18.392321270962046
21,21,17.4158121071783
22,22,16.76020610384463
23,23,17.09205020920502
